level1,level2,level3,level4,level5,level6,ru,abstract,counts,also,correlated,anti-correlated,description
,,,Babbling,,,Лепет,False,"111,26,9,6,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0",,"{""Child speech, kid speaking"": ""0.54"", ""Crying, sobbing"": ""0.37"", ""Belly laugh"": ""0.34"", ""Giggle"": ""0.33""}",{},Speech-like sounds uttered by a human that lack the deeper structure and meaning of conventional speech. Babbling is a stage in a child's development of language.
,,,Speech synthesizer,,,Речевой синтезатор,False,"3100,1896,1014,625,414,288,275,224,230,200,177,158,95,81,78,56,69,32,1",,"{""Narration, monologue"": ""0.31""}",{},Artificially-produced human speech.
,,Shout,,,,Крик,False,"1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Crowd"": ""0.35""}",{},Talk in a loud voice to deliberately command attention or overcome interfering sounds. Does not have the stronger emotional connotations of Yell or Scream.
,,,Bellow,,,Рев,False,"5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Whoop"": ""0.81"", ""Yell"": ""0.79"", ""Bang"": ""0.35"", ""Crowd"": ""0.34""}",{},A very loud utterance by a person that seems more animal than human.
,,,Whoop,,,Вопль,False,"5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Bellow"": ""0.81"", ""Yell"": ""0.73"", ""Crowd"": ""0.45"", ""Bang"": ""0.42"", ""Cheering"": ""0.34""}",{},A loud hooting cry of exultation or excitement.
,,,Yell,,,Вопль,False,"4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Bellow"": ""0.79"", ""Whoop"": ""0.73"", ""Roll"": ""0.34"", ""Bang"": ""0.33"", ""Crowd"": ""0.30""}",{},"Utter or declare in a very loud voice that seems excessive or involuntary, or that is deliberately startling in order to command attention, as distinct from the pragmatically raised voice of Shout."
,,,Battle cry,,,Боевой клич,False,"17,7,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Crowd"": ""0.65""}",{},"A yell or chant taken up in battle, usually by members of the same combatant group, aiming at arousing aggression on one's own side and intimidating the enemy."
,,,Children shouting,,,Детские крики,False,"8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Human sounds/Human group actions/Children shouting""","{""Cheering"": ""0.91"", ""Crowd"": ""0.64""}",{},"The boisterous vocalizations of a group of children, for instance in a playground."
,,Screaming,,,,Вопль,False,"35,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"A sharp, high-pitched human vocalization; often an instinctive action indicating fear, pain, surprise, joy, anger, etc. Verbal content is absent or overwhelmed, unlike Shout and Yell."
,,Whispering,,,,Шепот,False,"1020,293,122,73,36,16,6,20,6,3,3,3,3,3,1,1,1,1,6",,{},{},"Unvoiced speech, usually intended to be quieter to avoid causing disturbance or being overheard."
,,Laughter,,,,Смех,False,"141,21,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",,{},{},"The sound of rhythmical contractions of the diaphragm in response to stimuli such as tickling, or from humorous stories or thoughts."
,,,Baby laughter,,,Детский смех,False,"6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Belly laugh"": ""0.81"", ""Giggle"": ""0.61""}",{},Laughter that is produced by a baby or infant.
,,,Giggle,,,Хихикание,False,"30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Belly laugh"": ""0.80"", ""Baby laughter"": ""0.61"", ""Snicker"": ""0.44"", ""Child speech, kid speaking"": ""0.41"", ""Whimper"": ""0.38"", ""Crying, sobbing"": ""0.38"", ""Chuckle, chortle"": ""0.36"", ""Babbling"": ""0.33""}",{},A foolish or nervous laugh.
,,,Snicker,,,Хихикание,False,"120,24,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Chuckle, chortle"": ""0.75"", ""Giggle"": ""0.44"", ""Belly laugh"": ""0.42""}",{},A disrespectful laugh.
,,,Belly laugh,,,Хохот,False,"12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Baby laughter"": ""0.81"", ""Giggle"": ""0.80"", ""Snicker"": ""0.42"", ""Babbling"": ""0.34"", ""Crying, sobbing"": ""0.33"", ""Chuckle, chortle"": ""0.33"", ""Child speech, kid speaking"": ""0.33""}",{},Very loud and abrupt laughter that encompasses much of the body.
,,,"Chuckle, chortle",,,"Хихикание, хихиканье",False,"255,53,13,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Snicker"": ""0.75"", ""Giggle"": ""0.36"", ""Belly laugh"": ""0.33""}",{},Laugh quietly or with restraint.
,,"Crying, sobbing",,,,"Плач, всхлипывание",False,"31,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Wail, moan"": ""0.39"", ""Giggle"": ""0.38"", ""Babbling"": ""0.37"", ""Belly laugh"": ""0.33""}",{},"Sound associated with the shedding of tears in response to an emotional state, arising from slow but erratic inhalation, occasional instances of breath holding and muscular tremor."
,,,"Baby cry, infant cry",,,"Детский плач, младенческий плач",False,"28,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Whimper"": ""0.32""}",{},The sound of a young child crying or bawling.
,,,Whimper,,,Хныканье,False,"92,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Conversation"": ""0.41"", ""Wail, moan"": ""0.41"", ""Giggle"": ""0.38"", ""Female speech, woman speaking"": ""0.37"", ""Baby cry, infant cry"": ""0.32"", ""Child speech, kid speaking"": ""0.31"", ""Breathing"": ""0.31""}",{},"A plaintive, whining vocalization with some abrupt changes in loudness."
,,"Wail, moan",,,,"Вопль, стон",False,"38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Whimper"": ""0.41"", ""Crying, sobbing"": ""0.39"", ""Groan"": ""0.36""}",{},"A weak or soft emotional vocalization, possibly indicating pain, sadness, or pleasure."
,,Sigh,,,,Вздох,False,"1542,552,255,117,54,27,12,9,1,1,0,1,0,0,0,0,0,0,0",,"{""Gasp"": ""0.34""}",{},An utterance made by exhaling audibly.
,,Singing,,,,Пение,False,"748,356,223,162,89,35,22,10,8,10,4,1,0,0,0,0,0,0,0",,"{""Song"": ""0.72"", ""Gospel music"": ""0.57"", ""Vocal music"": ""0.54"", ""Country"": ""0.48"", ""Christian music"": ""0.43"", ""Music of Latin America"": ""0.41"", ""Guitar"": ""0.37"", ""Blues"": ""0.37"", ""Bluegrass"": ""0.37"", ""Musical instrument"": ""0.35"", ""Pop music"": ""0.35"", ""Plucked string instrument"": ""0.35"", ""Independent music"": ""0.34"", ""Music of Asia"": ""0.34"", ""Christmas music"": ""0.34"", ""Wedding music"": ""0.33"", ""Strum"": ""0.32"", ""Folk music"": ""0.32"", ""A capella"": ""0.31""}",{},"Musical sounds produced with the human voice, including sustained tonality, rhythm, and a variety of other vocal techniques."
,,,Choir,,,Хор,False,"105,55,28,16,11,7,8,8,6,7,3,2,0,1,0,0,0,0,0","""Music/Musical instrument/Choir""","{""A capella"": ""0.59"", ""Gospel music"": ""0.56"", ""Vocal music"": ""0.52"", ""Chant"": ""0.42"", ""Christian music"": ""0.36""}",{},A musical ensemble of singers.
,,,Yodeling,,,Йодль,False,"58,19,8,2,5,6,1,1,2,1,0,0,0,0,0,0,0,0,0",,"{""Male singing"": ""0.47"", ""Song"": ""0.31""}",{},A form of singing that involves repeated and rapid changes of pitch between the low-pitch chest register and the high-pitch head register or falsetto.
,,,Chant,,,Распев,False,"123,62,31,18,11,25,23,9,7,3,5,1,0,0,0,0,0,0,0","""Music/Music genre/Vocal music/Chant""","{""Vocal music"": ""0.62"", ""A capella"": ""0.51"", ""Choir"": ""0.42""}",{},"The rhythmic speaking or singing of words or sounds, often primarily on one or two main pitches called reciting tones."
,,,,Mantra,,Мантра,False,"212,77,39,45,20,16,13,7,10,16,10,6,3,3,1,0,0,0,0","""Music/Music genre/Vocal music/Chant/Mantra""","{""Vocal music"": ""0.46""}",{},A melodic sacred utterance believed to have spiritual powers.
,,,Male singing,,,Мужское пение,False,"196,77,36,26,17,6,2,0,2,0,0,0,0,0,0,0,0,0,0",,"{""Song"": ""0.52"", ""Country"": ""0.50"", ""Yodeling"": ""0.47"", ""Bluegrass"": ""0.39"", ""Synthetic singing"": ""0.33"", ""Vocal music"": ""0.32""}",{},Singing produced by an adult human male.
,,,Female singing,,,Женское пение,False,"93,24,24,9,8,2,3,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Child singing"": ""0.54""}",{},Singing produced by an adult human female.
,,,Child singing,,,Детское пение,False,"74,15,10,3,6,0,1,1,0,1,0,1,1,0,0,0,0,0,0",,"{""Female singing"": ""0.54""}",{},Singing produced by a young human whose voice has not yet reached its adult state.
,,,Synthetic singing,,,Синтетическое пение,False,"33,9,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0",,"{""Male singing"": ""0.33""}",{},"Singing-like sounds produced by artificial means, such as an electronic synthesizer.  Does not include pre-recorded sounds that originate in a human voice."
,,,Rapping,,,Рэп,False,"126,70,45,34,27,19,17,12,2,4,2,0,0,0,0,0,0,0,0",,"{""Hip hop music"": ""0.91"", ""Rhythm and blues"": ""0.32""}",{},"The sound of ""spoken or chanted rhyming lyrics"", serving the role of a vocal line in music but with normal speech intonation instead of a melodic line."
,,Humming,,,,Жужжание,False,"197,35,17,2,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0",,"{""Lullaby"": ""0.41""}",{},"A wordless tone produced by forcing the sound to emerge from the nose, often with a melody."
,,Groan,,,,Стон,False,"156,22,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Grunt"": ""0.48"", ""Wail, moan"": ""0.36""}",{},An utterance expressing pain or disapproval. Specifically refers to humans.
,,Grunt,,,,Хрюканье,False,"44,10,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0",,"{""Groan"": ""0.48""}",{},"A short low gruff noise, resembling the sound made by animals such as pigs. Specifically refers to humans."
,Whistling,,,,,Свист,False,"98,37,25,10,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Whistle"": ""0.61""}",{},"High-pitched tone produced by blowing or sucking air through a small opening between the lips. Used to draw attention, as a personal tic, and to reproduce a melody."
,Respiratory sounds,,,,,,True,,,,,"Sounds generated by the movement of air through the respiratory system (nose, mouth, trachea, and lungs)."
,,Breathing,,,,Дыхание,False,"1572,322,43,16,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0",,"{""Speech"": ""0.36"", ""Whimper"": ""0.31""}","{""Music"": ""-0.32""}",Air being moved in and out of the lungs in order to sustain life.
,,,Wheeze,,,Хрип,False,"39,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Sniff"": ""0.36"", ""Snort"": ""0.33""}",{},"A continuous, coarse, whistling sound produced by obstruction of the respiratory airways during breathing."
,,,Snoring,,,Храп,False,"45,7,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},The sound resulting from obstructed respiratory airways during breathing while sleeping.
,,,Gasp,,,Вздох,False,"2992,1176,534,252,96,40,12,6,1,0,0,1,0,0,0,0,0,0,0",,"{""Snort"": ""0.68"", ""Sigh"": ""0.34"", ""Speech"": ""0.31""}",{},A short labored intake of breath with the mouth open. Often indicates shock or surprise.
,,,Pant,,,Пыхтение,False,"263,46,16,6,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0",,{},{},"Fast and noisy breathing, often associated with physical exertion."
,,,Snort,,,Фырканье,False,"1944,422,85,23,17,2,4,1,0,1,0,0,0,0,0,0,0,0,0",,"{""Gasp"": ""0.68"", ""Wheeze"": ""0.33"", ""Speech"": ""0.31""}",{},"The sound of a single, hard exhalation through the nose."
,,Cough,,,,Кашель,False,"119,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"A sudden and often repetitively occurring reflex which consists of an inhalation, a forced exhalation against a closed glottis, and a violent release of air following opening of the glottis."
,,,Throat clearing,,,Прочистка горла,False,"165,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"Forced exhalation through a partially-closed glottis to disrupt built-up mucus, or used as a social signal to draw attention to one's presence."
,,Sneeze,,,,Чихание,False,"55,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"A convulsive expulsion of air from the lungs through the nose and mouth, usually caused by foreign particles irritating the nasal mucous."
,,Sniff,,,,Нюхание,False,"105,16,8,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0",,"{""Wheeze"": ""0.36""}",{},Inhale audibly through the nose.
,Human locomotion,,,,,,True,,,,,Sounds resulting from human body actions involved in changing location.
,,Run,,,,Бег,False,"254,53,26,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Outside, urban or manmade"": ""0.55"", ""Clip-clop"": ""0.54"", ""Horse"": ""0.46"", ""Walk, footsteps"": ""0.34""}",{},Move fast by using one's feet.
,,Shuffle,,,,Шаффл,False,"70,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Tap"": ""0.46"", ""Ping"": ""0.41""}",{},"Walk while dragging the feet, often indicating impaired mobility."
,,"Walk, footsteps",,,,"Ходьба, шаги",False,"650,274,121,63,33,20,15,2,7,5,1,2,0,0,0,0,0,0,0",,"{""Outside, rural or natural"": ""0.44"", ""Crackle"": ""0.43"", ""Run"": ""0.34"", ""Clip-clop"": ""0.33"", ""Horse"": ""0.32""}",{},The sound of feet or shoes contacting the ground in conventional human locomotion.
,Digestive,,,,,,True,,,,,Sounds associated with the human function of eating and processing nutrition (food).
,,"Chewing, mastication",,,,"Жевание, пережевывание",False,"560,113,34,14,3,1,6,3,6,4,3,1,1,0,0,0,0,0,0",,"{""Biting"": ""0.79"", ""Crunch"": ""0.52"", ""Inside, small room"": ""0.36""}",{},Food being crushed and ground by teeth.
,,Biting,,,,Кусание,False,"151,17,10,3,4,3,5,3,3,1,0,0,0,1,0,0,0,0,0",,"{""Chewing, mastication"": ""0.79"", ""Crunch"": ""0.58""}",{},Gripping or chewing off with the teeth and jaws.
,,Gargling,,,,Бульканье,False,"55,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},Air from the lungs bubbling through a liquid in the mouth.
,,Stomach rumble,,,,Ураган в животе,False,"707,135,34,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0",,{},{},"A rumbling, growling or gurgling noise produced by movement of the contents of the gastro-intestinal tract."
,,"Burping, eructation",,,,"Отрыжка, срыгивание",False,"38,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},The release of gas from the digestive tract through the mouth.
,,Hiccup,,,,Икота,False,"95,19,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"A strong, involuntary contraction of the diaphragm that may repeat several times per minute."
,,Fart,,,,Пердеж,False,"85,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},The release of gasses produced by digestion through the anus; flatulence.
,Hands,,,,,Руки,False,"117,21,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Child speech, kid speaking"": ""0.53""}",{},Sounds originating primarily from the hands and fingers of humans.
,,Finger snapping,,,,Щелканье пальцами,False,"299,44,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},A snapping or clicking sound usually caused by building tension between the thumb and another finger and then moving the other finger forcefully downward to hits the palm at high speed.
,,Clapping,,,,Хлопки,False,"88,14,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","""Human sounds/Human group actions/Clapping""","{""Tap"": ""0.42"", ""Ping"": ""0.36""}",{},"A percussive sound made by a human striking together the palms of their two hands, often quickly and repeatedly to express appreciation or approval. This category is to be used for distinct claps by a single person; for a group of people clapping together, use Applause."
,"Heart sounds, heartbeat",,,,,"Сердечные тоны, сердцебиение",False,"131,25,16,9,1,6,0,4,2,3,0,0,0,0,0,0,0,0,0",,"{""Throbbing"": ""0.60""}",{},Noises generated by the beating heart and the resultant flow of blood through it.
,,Heart murmur,,,,Шум в сердце,False,"60,10,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Throbbing"": ""0.51""}",{},"Heart sounds produced by abnormal blood flow across one of the heart valves, typically detected by a stethoscope."
,Human group actions,,,,,,True,,,,,Sounds produced by groups of humans rather than individuals.
,,Children shouting,,,,Детские крики,False,"8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Human sounds/Human voice/Shout/Children shouting""","{""Cheering"": ""0.91"", ""Crowd"": ""0.64""}",{},"The boisterous vocalizations of a group of children, for instance in a playground."
,,Clapping,,,,Хлопки,False,"88,14,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","""Human sounds/Hands/Clapping""","{""Tap"": ""0.42"", ""Ping"": ""0.36"", ""Hands"": ""0.35""}",{},"A percussive sound made by a human striking together the palms of their two hands, often quickly and repeatedly to express appreciation or approval. This category is to be used for distinct claps by a single person; for a group of people clapping together, use Applause."
,,Cheering,,,,Аплодисменты,False,"16,2,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Children shouting"": ""0.91"", ""Crowd"": ""0.73"", ""Whoop"": ""0.34""}",{},"Encouraging, stimulating, or exciting vocalizations indicating approval or welcoming persons, announcements, etc."
,,Applause,,,,Аплодисменты,False,"184,79,37,14,17,6,1,5,0,1,0,2,0,0,0,0,0,0,0",,{},{},Group expression of approval by the collective act of clapping by a group.
,,Chatter,,,,Болтовня,False,"126,33,10,7,8,5,4,0,0,1,1,0,0,0,0,0,0,0,0",,"{""Inside, public space"": ""0.47"", ""Hubbub, speech noise, speech babble"": ""0.30""}",{},The combined sound of casual speech by many people in individual simultaneous conversations.
,,Crowd,,,,Толпа,False,"90,24,4,4,3,7,0,2,1,0,0,1,0,0,0,0,0,0,0",,"{""Cheering"": ""0.73"", ""Battle cry"": ""0.65"", ""Children shouting"": ""0.64"", ""Whoop"": ""0.45"", ""Shout"": ""0.35"", ""Inside, public space"": ""0.34"", ""Bellow"": ""0.34"", ""Yell"": ""0.30""}",{},The sound of a large group of people gathered together.
,,"Hubbub, speech noise, speech babble",,,,"Гумор, речевой шум, речевой лепет",False,"110,20,14,1,5,1,3,0,1,1,0,0,0,0,0,0,0,0,0","""Channel, environment and background/Noise/Hubbub, speech noise, speech babble""","{""Outside, urban or manmade"": ""0.47"", ""Inside, public space"": ""0.40"", ""Chatter"": ""0.30""}",{},"Loud, disordered, unintelligible speech noise from many sources."
,,Children playing,,,,Дети играют,False,"109,31,20,7,4,4,3,0,3,0,1,0,1,0,0,0,0,0,0",,{},{},"The sound of children at play, including any of vocalization or the sounds of their activities."
Source-ambiguous sounds,,,,,,,True,,,,,"Portmanteau class for sounds that do not immediately suggest specific source objects, but which are more likely to be perceived and described according to their acoustic properties."
,Generic impact sounds,,,,,,True,,,,,"Sounds of impacts or collisions preferentially described by their acoustic properties, rather than by immediately referring to their assumed source object(s)."
,,Knock,,,,Стук,False,"96,24,7,2,4,2,0,1,0,0,2,0,0,1,0,0,0,0,0","""Sounds of things/Domestic sounds, home sounds/Door/Knock""",{},{},"A sharp noise of a rigid surface being struck, usually without damage and deliberately, most often with the knuckles of the hand."
,,Tap,,,,Тап,False,"53,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Domestic sounds, home sounds/Door/Tap""","{""Ping"": ""0.69"", ""Thump, thud"": ""0.51"", ""Shuffle"": ""0.46"", ""Arrow"": ""0.44"", ""Clapping"": ""0.42"", ""Door"": ""0.36"", ""Inside, large room or hall"": ""0.36"", ""Thunk"": ""0.31"", ""Bouncing"": ""0.30""}",{},"The sound of a light collision between a rigid object and a rigid surface, for instance to deliberately attract attention."
,,"Thump, thud",,,,"Стук, стук",False,"90,22,15,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Miscellaneous sources/Arrow/Thump, thud""","{""Tap"": ""0.51"", ""Ping"": ""0.50"", ""Slam"": ""0.49"", ""Inside, large room or hall"": ""0.46"", ""Basketball bounce"": ""0.38"", ""Arrow"": ""0.31""}",{},"A heavy dull sound, as made by impact of heavy objects with a relatively soft point of contact."
,,,Thunk,,,Танц,False,"267,65,14,13,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Miscellaneous sources/Arrow/Thump, thud/Thunk""","{""Door"": ""0.37"", ""Inside, large room or hall"": ""0.34"", ""Tap"": ""0.31""}",{},A partly dull hollow sound with a damped resonance.
,,Bang,,,,Банг,False,"9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Burst, pop"": ""0.51"", ""Whoop"": ""0.42"", ""Sound effect"": ""0.37"", ""Whack, thwack"": ""0.37"", ""Bellow"": ""0.35"", ""Smash, crash"": ""0.35"", ""Yell"": ""0.33"", ""Whoosh, swoosh, swish"": ""0.31"", ""Boom"": ""0.30""}",{},A brief and loud noise.
,,"Slap, smack",,,,"Шлепок, шлепок",False,"11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"The sharp sound of a flat object striking another (e.g., an open hand hitting a face)."
,,"Whack, thwack",,,,"Вжик, вжик",False,"70,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Smash, crash"": ""0.74"", ""Bang"": ""0.37"", ""Burst, pop"": ""0.36"", ""Whoosh, swoosh, swish"": ""0.30""}",{},"The sound of a partially rigid object forcefully striking another object, which may be preceded by the sound of the rapid, driven motion of one object (as of a baseball bat hitting a ball)."
,,"Smash, crash",,,,"Разбить, крушение",False,"113,62,21,13,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Whack, thwack"": ""0.74"", ""Burst, pop"": ""0.44"", ""Whoosh, swoosh, swish"": ""0.36"", ""Bang"": ""0.35""}",{},The sound of a rigid structure violently breaking into many pieces.
,,Breaking,,,,Разрушение,False,"72,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Shatter"": ""0.46"", ""Crack"": ""0.35""}",{},The sound of a rigid object become separated into pieces or fragments.
,,Bouncing,,,,Подпрыгивание,False,"6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Tap"": ""0.30"", ""Slam"": ""0.30""}",{},"The sound of an elastic, non-destructive collision in which one or both objects spring back. Depending on the situation, there may be multiple such collisions in a characteristic pattern, as of a ball bouncing."
,,Whip,,,,Хлыст,False,"49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Arrow"": ""0.35""}",{},"The sound of whipping, i.e., the greatly accelerated motion of the tip of a flexible structure, as the result of concentrated angular momentum."
,,Flap,,,,Лоскут,False,"5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Outside, urban or manmade"": ""0.51"", ""Vehicle"": ""0.49"", ""Car passing by"": ""0.44"", ""Car"": ""0.42"", ""Wind"": ""0.42"", ""Wind noise (microphone)"": ""0.41"", ""Clatter"": ""0.41"", ""Bicycle"": ""0.40"", ""Motor vehicle (road)"": ""0.39"", ""Outside, rural or natural"": ""0.36"", ""Rustling leaves"": ""0.35"", ""Ship"": ""0.34"", ""Boat, Water vehicle"": ""0.33"", ""Motorboat, speedboat"": ""0.32"", ""Scrape"": ""0.32"", ""Gurgling"": ""0.32"", ""Field recording"": ""0.30""}",{},"The noisy sound of a flexible surface, such as a flag, moving back-and-forth in the air and optionally coming into contact with an adjacent hard surface."
,Surface contact,,,,,,True,,,,,Sounds produced by a more extended interaction between two objects or surfaces instead of a collision or bounce.
,,Scratch,,,,Царапина,False,"45,10,5,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0",,"{""Scratching (performance technique)"": ""0.46""}",{},"The sound of a hard, sharp point of contact leaving a permanent groove in a hard surface."
,,Scrape,,,,Скрежет,False,"32,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Crackle"": ""0.47"", ""Rattle"": ""0.34"", ""Flap"": ""0.32""}",{},The sound of a hard edge dragging across a surface.
,,Rub,,,,Терение,False,"661,205,101,39,35,17,8,7,4,5,5,1,3,2,1,3,0,1,0",,"{""Filing (rasp)"": ""0.76"", ""Wood"": ""0.65"", ""Sanding"": ""0.64"", ""Sawing"": ""0.42""}",{},The sound of two surfaces moving smoothly over each other with pressure but without excessive friction.
,,Roll,,,,Катание,False,"14,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Rock and roll"": ""0.87"", ""Rock music"": ""0.63"", ""Punk rock"": ""0.52"", ""Psychedelic rock"": ""0.51"", ""Grunge"": ""0.43"", ""Ska"": ""0.41"", ""Progressive rock"": ""0.40"", ""Exciting music"": ""0.39"", ""Independent music"": ""0.39"", ""Blues"": ""0.38"", ""Yell"": ""0.34"", ""Pop music"": ""0.32""}",{},The sound of an object moving by turning over or rotating.
,Deformable shell,,,,,,True,,,,,"Sounds that are associated with shells, rigid sheets, or other predominantly two-dimensional surfaces."
,,Crushing,,,,Дробление,False,"38,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Crackle"": ""0.30""}",{},"The sound of a brittle, rigid structure breaking into small pieces or catastrophically deforming."
,,"Crumpling, crinkling",,,,"Мятие, сморщивание",False,"591,264,184,97,59,24,27,15,8,6,0,1,0,0,0,0,0,0,0",,"{""Tearing"": ""0.73"", ""Inside, small room"": ""0.37"", ""Crunch"": ""0.35"", ""Crackle"": ""0.34""}",{},"The sound of a rigid but flexible sheet, such as paper or aluminum, buckling into a smaller volume."
,,Tearing,,,,Рваный,False,"498,189,59,28,7,6,1,3,1,0,0,0,0,0,0,0,0,0,0",,"{""Crumpling, crinkling"": ""0.73"", ""Crunch"": ""0.38"", ""Inside, small room"": ""0.36""}",{},The sound of a flat or smooth surface separating abruptly.
,Onomatopoeia,,,,,,True,,,,,"A class of sounds named to phonetically imitate, resemble, or suggest the sound it describes."
,,Hiss,,,,Шипение,False,"102,24,8,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0","""Animal/Domestic animals, pets/Cat/Hiss"" and ""Animal/Wild animals/Snake/Hiss"" and ""Natural sounds/Water/Steam/Hiss""","{""Steam"": ""0.83"", ""Snake"": ""0.52"", ""Spray"": ""0.45""}",{},"A fricative sound, such as from a cat giving warning, or an audience indicating disapproval."
,,Rattle,,,,Погремушка,False,"2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Animal/Wild animals/Snake/Rattle""","{""Engine"": ""0.39"", ""Vibration"": ""0.37"", ""Rattle (instrument)"": ""0.35"", ""Idling"": ""0.34"", ""Scrape"": ""0.34"", ""Clatter"": ""0.34"", ""Medium engine (mid frequency)"": ""0.34"", ""Engine knocking"": ""0.31""}",{},A rapid series of short loud sounds as of small hard items loose inside a container.
,,Crackle,,,,Трескать,False,"160,16,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","""Natural sounds/Fire/Crackle""","{""Scrape"": ""0.47"", ""Walk, footsteps"": ""0.43"", ""Fire"": ""0.35"", ""Crumpling, crinkling"": ""0.34"", ""Outside, rural or natural"": ""0.32"", ""Crushing"": ""0.30""}",{},"An irregular sequence of sharp sounds, as from sudden vaporization of liquids trapped in a burning solid, or from a collection of snapping noises."
,,Crack,,,,Треснуть,False,"73,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Wood/Crack""","{""Breaking"": ""0.35""}",{},Abrupt sounds of individual ruptures in a rigid substance under stress.
